fecha_compra,fecha_caja,categoria_codigo,monto,cuenta,estado,recurrencia,persona,propiedad,fondo,comentario,origen
2026-01-05,2026-01-05,FI-01,726722,Cuenta Corriente,PAGADO,RECURRENTE,Comun,,,,MIGRACION
2026-01-05,2026-01-05,DE-01,649091,Cuenta Corriente,PAGADO,RECURRENTE,Rocha,Depto Metlife Rocha,,Metlife rocha,MIGRACION
2026-01-05,2026-01-05,VA-08,153132,Tarjeta Credito,PAGADO,RECURRENTE,Comun,,,webeo año nuevo + almuerzo,MIGRACION
2026-01-05,2026-01-05,TR-01,350771,Cuenta Corriente,PAGADO,TRANSFERENCIA,Comun,,,Ahorro Diciembre 2026,MIGRACION
2026-01-05,2026-01-05,VA-07,11850,Tarjeta Credito,PAGADO,RECURRENTE,Comun,,,Chelas sauro,MIGRACION
2026-01-05,2026-01-05,VA-08,5500,Tarjeta Credito,PAGADO,EXTRAORDINARIO,Comun,,,Churros,MIGRACION
2026-01-05,2026-01-05,VA-01,29643,Tarjeta Credito,PAGADO,RECURRENTE,Comun,,,Asado coloro,MIGRACION
2026-01-05,2026-01-05,DE-01,645140,Cuenta Corriente,PAGADO,RECURRENTE,Lalo,Depto Metlife Lalo,,Metlife Lalo,MIGRACION
2026-01-05,2026-01-05,DE-02,193740,Cuenta Corriente,PAGADO,RECURRENTE,Comun,,,,MIGRACION
2026-01-05,2026-01-05,VA-06,7300,Tarjeta Credito,PAGADO,RECURRENTE,Comun,,,Subway,MIGRACION
2026-01-05,2026-01-05,FI-07,90000,Cuenta Corriente,PAGADO,RECURRENTE,Comun,,,Berni,MIGRACION
2026-01-05,2026-01-05,DE-01,618402,Cuenta Corriente,PAGADO,RECURRENTE,Comun,Depto BCI,,Depto bci,MIGRACION
2026-01-05,2026-01-05,VA-11,8000,Cuenta Corriente,PAGADO,RECURRENTE,Comun,,,Pan de pascua Patricio,MIGRACION
2026-01-05,2026-01-05,VA-06,47210,Tarjeta Credito,PAGADO,RECURRENTE,Comun,,,Almuerzo + Cine + Estacionamientos,MIGRACION
2026-01-05,2026-01-05,IN-02,1684175,Cuenta Corriente,PAGADO,RECURRENTE,Lalo,,,,MIGRACION
2026-01-05,2026-01-05,TR-02,350771,Cuenta Corriente,PAGADO,TRANSFERENCIA,Comun,,,Ahorro Diciembre 2026,MIGRACION
2026-01-05,2026-01-05,IN-01,4029974,Cuenta Corriente,PAGADO,RECURRENTE,Rocha,,,,MIGRACION
2026-01-05,2026-01-05,AP-02,600000,Cuenta Corriente,PAGADO,RECURRENTE,Lalo,,,,MIGRACION
2026-01-05,2026-01-05,AP-01,600000,Cuenta Corriente,PAGADO,RECURRENTE,Rocha,,,,MIGRACION
2026-01-05,2026-01-05,VA-01,4080,Tarjeta Credito,PAGADO,RECURRENTE,Comun,,,Pan,MIGRACION
2026-01-06,2026-01-06,FI-04,27300,Cuenta Corriente,PAGADO,RECURRENTE,Comun,,,,MIGRACION
2026-01-06,2026-01-06,FI-08,63999,Cuenta Corriente,PAGADO,RECURRENTE,Comun,,,,MIGRACION
2026-01-06,2026-01-06,IN-03,836729,Cuenta Corriente,PAGADO,RECURRENTE,Comun,Deptos (sin asignar),,,MIGRACION
2026-01-06,2026-01-06,VA-10,30000,Tarjeta Credito,PAGADO,RECURRENTE,Comun,,,Baño,MIGRACION
